Peso vivo,Proteina,Energia Met.,"Vit ""A""","Vit ""D""",Ca,P,Fibra,M.S.,N°,Raza
351-II,"1,099","24,12","14,855","3,300","31,0","18,0","3,054","9,83",351,Criollo_mejorado
352-II,"1,102","24,19","14,890","3,300","31,0","18,0","3,062","9,86",352,Criollo_mejorado
353-II,"1,105","24,26","14,925","3,300","31,0","18,0","3,071","9,88",353,Criollo_mejorado
354-II,"1,108","24,32","14,960","3,300","31,0","18,0","3,080","9,91",354,Criollo_mejorado
355-II,"1,111","24,39","14,995","3,300","31,0","18,0","3,089","9,94",355,Criollo_mejorado
356-II,"1,113","24,46","15,031","3,300","31,0","18,0","3,097","9,97",356,Criollo_mejorado
357-II,"1,116","24,53","15,066","3,300","31,0","18,0","3,106","10,00",357,Criollo_mejorado
358-II,"1,119","24,60","15,101","3,300","31,0","18,0","3,115","10,02",358,Criollo_mejorado
359-II,"1,122","24,67","15,136","3,300","31,0","18,0","3,123","10,05",359,Criollo_mejorado
360-II,"1,125","24,74","15,240","3,300","31,0","18,0","3,132","10,08",360,Criollo_mejorado
361-II,"1,128","24,81","15,282","3,300","31,0","18,0","3,141","10,11",361,Criollo_mejorado
362-II,"1,129","24,87","15,325","3,300","31,0","18,0","3,149","10,14",362,Criollo_mejorado
363-II,"1,129","24,94","15,367","3,300","31,0","18,0","3,158","10,16",363,Criollo_mejorado
364-II,"1,129","25,01","15,409","3,300","31,0","18,0","3,167","10,19",364,Criollo_mejorado
365-II,"1,129","25,08","15,452","3,300","31,0","18,0","3,176","10,22",365,Criollo_mejorado
366-II,"1,129","25,15","15,494","3,300","31,0","18,0","3,184","10,25",366,Criollo_mejorado
367-II,"1,129","25,22","15,536","3,300","31,0","18,0","3,193","10,28",367,Criollo_mejorado
368-II,"1,129","25,29","15,578","3,300","31,0","18,0","3,202","10,30",368,Criollo_mejorado
369-II,"1,129","25,36","15,621","3,300","31,0","18,0","3,210","10,33",369,Criollo_mejorado
370-II,"1,129","25,42","15,663","3,300","31,0","18,0","3,219","10,36",370,Criollo_mejorado
371-II,"1,129","25,49","15,705","3,300","31,0","18,0","3,228","10,39",371,Criollo_mejorado
372-II,"1,129","25,56","15,748","3,300","31,0","18,0","3,236","10,42",372,Criollo_mejorado
373-II,"1,129","25,63","15,790","3,300","31,0","18,0","3,245","10,44",373,Criollo_mejorado
374-II,"1,129","25,70","15,832","3,300","31,0","18,0","3,254","10,47",374,Criollo_mejorado
375-II,"1,129","25,77","15,875","3,300","31,0","18,0","3,263","10,50",375,Criollo_mejorado
376-II,"1,129","25,84","15,917","3,300","31,0","18,0","3,271","10,53",376,Criollo_mejorado
377-II,"1,129","25,90","15,959","3,300","31,0","18,0","3,280","10,56",377,Criollo_mejorado
378-II,"1,129","25,97","16,001","3,300","31,0","18,0","3,289","10,58",378,Criollo_mejorado
379-II,"1,129","26,04","16,044","3,300","31,0","18,0","3,297","10,61",379,Criollo_mejorado
380-II,"1,129","26,11","16,086","3,300","31,0","18,0","3,306","10,64",380,Criollo_mejorado
381-II,"1,129","26,18","16,128","3,300","31,0","18,0","3,315","10,67",381,Criollo_mejorado
382-II,"1,129","26,25","16,171","3,300","31,0","18,0","3,323","10,70",382,Criollo_mejorado
383-II,"1,129","26,25","16,213","3,300","31,0","18,0","3,332","10,72",383,Criollo_mejorado
384-II,"1,129","26,25","16,255","3,300","31,0","18,0","3,341","10,75",384,Criollo_mejorado
385-II,"1,129","26,25","16,298","3,300","31,0","18,0","3,350","10,78",385,Criollo_mejorado
386-II,"1,129","26,25","16,340","3,300","31,0","18,0","3,358","10,81",386,Criollo_mejorado
387-II,"1,129","26,25","16,382","3,300","31,0","18,0","3,367","10,84",387,Criollo_mejorado
388-II,"1,129","26,25","16,424","3,300","31,0","18,0","3,376","10,86",388,Criollo_mejorado
389-II,"1,129","26,25","16,467","3,300","31,0","18,0","3,384","10,89",389,Criollo_mejorado
390-II,"1,129","26,25","16,509","3,300","31,0","18,0","3,393","10,92",390,Criollo_mejorado
391-II,"1,129","26,25","16,551","3,300","31,0","18,0","3,402","10,95",391,Criollo_mejorado
392-II,"1,129","26,25","16,594","3,300","31,0","18,0","3,410","10,98",392,Criollo_mejorado
393-II,"1,129","26,25","16,636","3,300","31,0","18,0","3,419","11,00",393,Criollo_mejorado
394-II,"1,129","26,25","16,678","3,300","31,0","18,0","3,428","11,03",394,Criollo_mejorado
395-II,"1,129","26,25","16,721","3,300","31,0","18,0","3,437","11,06",395,Criollo_mejorado
396-II,"1,129","26,25","16,763","3,300","31,0","18,0","3,445","11,09",396,Criollo_mejorado
397-II,"1,129","26,25","16,805","3,300","31,0","18,0","3,454","11,12",397,Criollo_mejorado
398-II,"1,129","26,25","16,847","3,300","31,0","18,0","3,463","11,14",398,Criollo_mejorado
399-II,"1,129","26,25","16,890","3,300","31,0","18,0","3,471","11,17",399,Criollo_mejorado
400-II,"1,129","26,25","16,932","3,300","29,0","19,0","3,480","11,20",400,Criollo_mejorado
401-II,"1,132","26,32","17,059","3,300","29,0","19,0","3,506","11,28",401,Criollo_mejorado
402-II,"1,135","26,38","17,101","3,300","29,0","19,0","3,515","11,31",402,Criollo_mejorado
403-II,"1,137","26,45","17,144","3,300","29,0","19,0","3,524","11,34",403,Criollo_mejorado
404-II,"1,140","26,51","17,186","3,300","29,0","19,0","3,532","11,37",404,Criollo_mejorado
405-II,"1,143","26,58","17,228","3,300","29,0","19,0","3,541","11,40",405,Criollo_mejorado
406-II,"1,146","26,64","17,270","3,300","29,0","19,0","3,550","11,42",406,Criollo_mejorado
407-II,"1,149","26,71","17,313","3,300","29,0","19,0","3,558","11,45",407,Criollo_mejorado
408-II,"1,151","26,77","17,355","3,300","29,0","19,0","3,567","11,48",408,Criollo_mejorado
409-II,"1,154","26,84","17,397","3,300","29,0","19,0","3,576","11,51",409,Criollo_mejorado
410-II,"1,157","26,90","17,440","3,300","29,0","19,0","3,584","11,54",410,Criollo_mejorado
411-II,"1,160","26,97","17,482","3,300","29,0","19,0","3,593","11,56",411,Criollo_mejorado
412-II,"1,165","27,03","17,524","3,300","29,0","19,0","3,602","11,59",412,Criollo_mejorado
413-II,"1,165","27,10","17,567","3,300","29,0","19,0","3,611","11,62",413,Criollo_mejorado
414-II,"1,165","27,16","17,609","3,300","29,0","19,0","3,619","11,65",414,Criollo_mejorado
415-II,"1,165","27,23","17,651","3,300","29,0","19,0","3,628","11,68",415,Criollo_mejorado
416-II,"1,165","27,29","17,693","3,300","29,0","19,0","3,637","11,70",416,Criollo_mejorado
417-II,"1,165","27,36","17,736","3,300","29,0","19,0","3,645","11,73",417,Criollo_mejorado
418-II,"1,165","27,42","17,778","3,300","29,0","19,0","3,654","11,76",418,Criollo_mejorado
419-II,"1,165","27,49","17,820","3,300","29,0","19,0","3,663","11,79",419,Criollo_mejorado
420-II,"1,165","27,55","17,863","3,300","29,0","19,0","3,671","11,82",420,Criollo_mejorado
421-II,"1,165","27,62","17,905","3,300","29,0","19,0","3,680","11,84",421,Criollo_mejorado
422-II,"1,165","27,68","17,947","3,300","29,0","19,0","3,689","11,87",422,Criollo_mejorado
423-II,"1,165","27,75","17,989","3,300","29,0","19,0","3,698","11,90",423,Criollo_mejorado
424-II,"1,165","27,81","18,032","3,300","29,0","19,0","3,706","11,93",424,Criollo_mejorado
425-II,"1,165","27,88","18,074","3,300","29,0","19,0","3,715","11,96",425,Criollo_mejorado
426-II,"1,165","27,94","18,116","3,300","29,0","19,0","3,724","11,98",426,Criollo_mejorado
427-II,"1,165","28,01","18,159","3,300","29,0","19,0","3,732","12,01",427,Criollo_mejorado
428-II,"1,165","28,07","18,201","3,300","29,0","19,0","3,741","12,04",428,Criollo_mejorado
429-II,"1,165","28,14","18,243","3,300","29,0","19,0","3,750","12,07",429,Criollo_mejorado
430-II,"1,165","28,20","18,286","3,300","29,0","19,0","3,758","12,10",430,Criollo_mejorado
431-II,"1,165","28,27","18,328","3,300","29,0","19,0","3,767","12,12",431,Criollo_mejorado
432-II,"1,165","28,27","18,370","3,300","29,0","19,0","3,776","12,15",432,Criollo_mejorado
433-II,"1,165","28,27","18,412","3,300","29,0","19,0","3,785","12,18",433,Criollo_mejorado
434-II,"1,165","28,27","18,455","3,300","29,0","19,0","3,793","12,21",434,Criollo_mejorado
435-II,"1,165","28,27","18,497","3,300","29,0","19,0","3,802","12,24",435,Criollo_mejorado
436-II,"1,165","28,27","18,539","3,300","29,0","19,0","3,811","12,26",436,Criollo_mejorado
437-II,"1,165","28,27","18,582","3,300","29,0","19,0","3,819","12,29",437,Criollo_mejorado
438-II,"1,165","28,27","18,624","3,300","29,0","19,0","3,828","12,32",438,Criollo_mejorado
439-II,"1,165","28,27","18,666","3,300","29,0","19,0","3,837","12,35",439,Criollo_mejorado
440-II,"1,165","28,27","18,709","3,300","29,0","19,0","3,845","12,38",440,Criollo_mejorado
441-II,"1,165","28,27","18,751","3,300","29,0","19,0","3,854","12,40",441,Criollo_mejorado
442-II,"1,165","28,27","18,793","3,300","29,0","19,0","3,863","12,43",442,Criollo_mejorado
443-II,"1,165","28,27","18,835","3,300","29,0","19,0","3,872","12,46",443,Criollo_mejorado
444-II,"1,165","28,27","18,878","3,300","29,0","19,0","3,880","12,49",444,Criollo_mejorado
445-II,"1,165","28,27","18,920","3,300","29,0","19,0","3,889","12,52",445,Criollo_mejorado
446-II,"1,165","28,27","18,962","3,300","29,0","19,0","3,898","12,54",446,Criollo_mejorado
447-II,"1,165","28,27","19,005","3,300","29,0","19,0","3,906","12,57",447,Criollo_mejorado
448-II,"1,165","28,27","19,047","3,300","29,0","19,0","3,915","12,60",448,Criollo_mejorado
449-II,"1,167","28,33","19,089","3,300","29,0","19,0","3,924","12,63",449,Criollo_mejorado
450-II,"1,170","28,39","19,132","3,300","28,0","20,0","3,932","12,66",450,Criollo_mejorado
400-III,"1,129","26,25","16,932","3,300","29,0","19,0","3,480","11,20",400,Aberdeen_Angus
401-III,"1,132","26,32","17,059","3,300","29,0","19,0","3,506","11,28",401,Aberdeen_Angus
402-III,"1,135","26,38","17,101","3,300","29,0","19,0","3,515","11,31",402,Aberdeen_Angus
403-III,"1,137","26,45","17,144","3,300","29,0","19,0","3,524","11,34",403,Aberdeen_Angus
404-III,"1,140","26,51","17,186","3,300","29,0","19,0","3,532","11,37",404,Aberdeen_Angus
405-III,"1,143","26,58","17,228","3,300","29,0","19,0","3,541","11,40",405,Aberdeen_Angus
406-III,"1,146","26,64","17,270","3,300","29,0","19,0","3,550","11,42",406,Aberdeen_Angus
407-III,"1,149","26,71","17,313","3,300","29,0","19,0","3,558","11,45",407,Aberdeen_Angus
408-III,"1,151","26,77","17,355","3,300","29,0","19,0","3,567","11,48",408,Aberdeen_Angus
409-III,"1,154","26,84","17,397","3,300","29,0","19,0","3,576","11,51",409,Aberdeen_Angus
410-III,"1,157","26,90","17,440","3,300","29,0","19,0","3,584","11,54",410,Aberdeen_Angus
411-III,"1,160","26,97","17,482","3,300","29,0","19,0","3,593","11,56",411,Aberdeen_Angus
412-III,"1,165","27,03","17,524","3,300","29,0","19,0","3,602","11,59",412,Aberdeen_Angus
413-III,"1,165","27,10","17,567","3,300","29,0","19,0","3,611","11,62",413,Aberdeen_Angus
414-III,"1,165","27,16","17,609","3,300","29,0","19,0","3,619","11,65",414,Aberdeen_Angus
415-III,"1,165","27,23","17,651","3,300","29,0","19,0","3,628","11,68",415,Aberdeen_Angus
416-III,"1,165","27,29","17,693","3,300","29,0","19,0","3,637","11,70",416,Aberdeen_Angus
417-III,"1,165","27,36","17,736","3,300","29,0","19,0","3,645","11,73",417,Aberdeen_Angus
418-III,"1,165","27,42","17,778","3,300","29,0","19,0","3,654","11,76",418,Aberdeen_Angus
419-III,"1,165","27,49","17,820","3,300","29,0","19,0","3,663","11,79",419,Aberdeen_Angus
420-III,"1,165","27,55","17,863","3,300","29,0","19,0","3,671","11,82",420,Aberdeen_Angus
421-III,"1,165","27,62","17,905","3,300","29,0","19,0","3,680","11,84",421,Aberdeen_Angus
422-III,"1,165","27,68","17,947","3,300","29,0","19,0","3,689","11,87",422,Aberdeen_Angus
423-III,"1,165","27,75","17,989","3,300","29,0","19,0","3,698","11,90",423,Aberdeen_Angus
424-III,"1,165","27,81","18,032","3,300","29,0","19,0","3,706","11,93",424,Aberdeen_Angus
425-III,"1,165","27,88","18,074","3,300","29,0","19,0","3,715","11,96",425,Aberdeen_Angus
426-III,"1,165","27,94","18,116","3,300","29,0","19,0","3,724","11,98",426,Aberdeen_Angus
427-III,"1,165","28,01","18,159","3,300","29,0","19,0","3,732","12,01",427,Aberdeen_Angus
428-III,"1,165","28,07","18,201","3,300","29,0","19,0","3,741","12,04",428,Aberdeen_Angus
429-III,"1,165","28,14","18,243","3,300","29,0","19,0","3,750","12,07",429,Aberdeen_Angus
430-III,"1,165","28,20","18,286","3,300","29,0","19,0","3,758","12,10",430,Aberdeen_Angus
431-III,"1,165","28,27","18,328","3,300","29,0","19,0","3,767","12,12",431,Aberdeen_Angus
432-III,"1,165","28,27","18,370","3,300","29,0","19,0","3,776","12,15",432,Aberdeen_Angus
433-III,"1,165","28,27","18,412","3,300","29,0","19,0","3,785","12,18",433,Aberdeen_Angus
434-III,"1,165","28,27","18,455","3,300","29,0","19,0","3,793","12,21",434,Aberdeen_Angus
435-III,"1,165","28,27","18,497","3,300","29,0","19,0","3,802","12,24",435,Aberdeen_Angus
436-III,"1,165","28,27","18,539","3,300","29,0","19,0","3,811","12,26",436,Aberdeen_Angus
437-III,"1,165","28,27","18,582","3,300","29,0","19,0","3,819","12,29",437,Aberdeen_Angus
438-III,"1,165","28,27","18,624","3,300","29,0","19,0","3,828","12,32",438,Aberdeen_Angus
439-III,"1,165","28,27","18,666","3,300","29,0","19,0","3,837","12,35",439,Aberdeen_Angus
440-III,"1,165","28,27","18,709","3,300","29,0","19,0","3,845","12,38",440,Aberdeen_Angus
441-III,"1,165","28,27","18,751","3,300","29,0","19,0","3,854","12,40",441,Aberdeen_Angus
442-III,"1,165","28,27","18,793","3,300","29,0","19,0","3,863","12,43",442,Aberdeen_Angus
443-III,"1,165","28,27","18,835","3,300","29,0","19,0","3,872","12,46",443,Aberdeen_Angus
444-III,"1,165","28,27","18,878","3,300","29,0","19,0","3,880","12,49",444,Aberdeen_Angus
445-III,"1,165","28,27","18,920","3,300","29,0","19,0","3,889","12,52",445,Aberdeen_Angus
446-III,"1,165","28,27","18,962","3,300","29,0","19,0","3,898","12,54",446,Aberdeen_Angus
447-III,"1,165","28,27","19,005","3,300","29,0","19,0","3,906","12,57",447,Aberdeen_Angus
448-III,"1,165","28,27","19,047","3,300","29,0","19,0","3,915","12,60",448,Aberdeen_Angus
449-III,"1,167","28,33","19,089","3,300","29,0","19,0","3,924","12,63",449,Aberdeen_Angus
450-III,"1,170","28,39","19,132","3,300","28,0","20,0","3,932","12,66",450,Aberdeen_Angus
451-III,"1,172","28,45","19,174","3,300","28,0","20,0","3,941","12,68",451,Aberdeen_Angus
452-III,"1,174","28,52","19,216","3,300","28,0","20,0","3,950","12,71",452,Aberdeen_Angus
453-III,"1,177","28,58","19,258","3,300","28,0","20,0","3,959","12,74",453,Aberdeen_Angus
454-III,"1,179","28,64","19,301","3,300","28,0","20,0","3,967","12,77",454,Aberdeen_Angus
455-III,"1,181","28,71","19,343","3,300","28,0","20,0","3,976","12,80",455,Aberdeen_Angus
456-III,"1,183","28,77","19,385","3,300","28,0","20,0","3,985","12,82",456,Aberdeen_Angus
457-III,"1,186","28,83","19,428","3,300","28,0","20,0","3,993","12,85",457,Aberdeen_Angus
458-III,"1,188","28,90","19,470","3,300","28,0","20,0","4,002","12,88",458,Aberdeen_Angus
459-III,"1,190","28,96","19,512","3,300","28,0","20,0","4,011","12,91",459,Aberdeen_Angus
460-III,"1,193","29,02","19,555","3,300","28,0","20,0","4,019","12,94",460,Aberdeen_Angus
461-III,"1,195","29,08","19,597","3,300","28,0","20,0","4,028","12,96",461,Aberdeen_Angus
462-III,"1,197","29,15","19,639","3,300","28,0","20,0","4,037","12,99",462,Aberdeen_Angus
463-III,"1,200","29,21","19,681","3,300","28,0","20,0","4,046","13,02",463,Aberdeen_Angus
464-III,"1,202","29,27","19,724","3,300","28,0","20,0","4,054","13,05",464,Aberdeen_Angus
465-III,"1,204","29,34","19,766","3,300","28,0","20,0","4,063","13,08",465,Aberdeen_Angus
466-III,"1,204","29,40","19,808","3,300","28,0","20,0","4,072","13,10",466,Aberdeen_Angus
467-III,"1,204","29,46","19,851","3,300","28,0","20,0","4,080","13,13",467,Aberdeen_Angus
468-III,"1,204","29,53","19,893","3,300","28,0","20,0","4,089","13,16",468,Aberdeen_Angus
469-III,"1,204","29,59","19,935","3,300","28,0","20,0","4,098","13,19",469,Aberdeen_Angus
470-III,"1,204","29,65","19,978","3,300","28,0","20,0","4,106","13,22",470,Aberdeen_Angus
471-III,"1,204","29,71","20,020","3,300","28,0","20,0","4,115","13,24",471,Aberdeen_Angus
472-III,"1,204","29,78","20,062","3,300","28,0","20,0","4,124","13,27",472,Aberdeen_Angus
473-III,"1,204","29,84","20,104","3,300","28,0","20,0","4,133","13,30",473,Aberdeen_Angus
474-III,"1,204","29,90","20,147","3,300","28,0","20,0","4,141","13,33",474,Aberdeen_Angus
475-III,"1,204","29,97","20,189","3,300","28,0","20,0","4,150","13,36",475,Aberdeen_Angus
476-III,"1,204","30,03","20,231","3,300","28,0","20,0","4,159","13,38",476,Aberdeen_Angus
477-III,"1,204","30,09","20,274","3,300","28,0","20,0","4,167","13,41",477,Aberdeen_Angus
478-III,"1,204","30,16","20,280","3,300","28,0","20,0","4,176","13,44",478,Aberdeen_Angus
479-III,"1,204","30,22","20,322","3,300","28,0","20,0","4,185","13,47",479,Aberdeen_Angus
480-III,"1,204","30,28","20,365","3,300","28,0","20,0","4,193","13,50",480,Aberdeen_Angus
481-III,"1,204","30,43","20,407","3,300","28,0","20,0","4,202","13,52",481,Aberdeen_Angus
482-III,"1,204","30,43","20,449","3,300","28,0","20,0","4,211","13,55",482,Aberdeen_Angus
483-III,"1,204","30,43","20,491","3,300","28,0","20,0","4,220","13,58",483,Aberdeen_Angus
484-III,"1,204","30,43","20,534","3,300","28,0","20,0","4,228","13,61",484,Aberdeen_Angus
485-III,"1,204","30,43","20,576","3,300","28,0","20,0","4,237","13,64",485,Aberdeen_Angus
486-III,"1,204","30,43","20,618","3,300","28,0","20,0","4,246","13,66",486,Aberdeen_Angus
487-III,"1,204","30,43","20,660","3,300","28,0","20,0","4,254","13,69",487,Aberdeen_Angus
488-III,"1,204","30,43","20,703","3,300","28,0","20,0","4,263","13,72",488,Aberdeen_Angus
489-III,"1,204","30,43","20,745","3,300","28,0","20,0","4,272","13,75",489,Aberdeen_Angus
490-III,"1,204","30,43","20,787","3,300","28,0","20,0","4,280","13,78",490,Aberdeen_Angus
491-III,"1,204","30,43","20,829","3,300","28,0","20,0","4,289","13,80",491,Aberdeen_Angus
492-III,"1,204","30,43","20,872","3,300","28,0","20,0","4,298","13,83",492,Aberdeen_Angus
493-III,"1,204","30,43","20,914","3,300","28,0","20,0","4,307","13,86",493,Aberdeen_Angus
494-III,"1,204","30,43","20,956","3,300","28,0","20,0","4,315","13,89",494,Aberdeen_Angus
495-III,"1,204","30,43","20,998","3,300","28,0","20,0","4,324","13,92",495,Aberdeen_Angus
496-III,"1,204","30,43","21,041","3,300","28,0","20,0","4,280","13,94",496,Aberdeen_Angus
497-III,"1,204","30,43","21,083","3,300","28,0","20,0","4,236","13,97",497,Aberdeen_Angus
498-III,"1,204","30,43","21,125","3,300","28,0","20,0","4,237","14,00",498,Aberdeen_Angus
499-III,"1,206","30,49","21,167","3,300","28,0","20,0","4,238","14,03",499,Aberdeen_Angus
500-III,"1,209","30,55","21,210","3,300","27,0","21,0","4,239","14,06",500,Aberdeen_Angus
501-III,"1,211","30,61","21,252","3,300","27,0","21,0","4,240","14,08",501,Aberdeen_Angus
502-III,"1,214","30,67","21,294","3,300","27,0","21,0","4,241","14,11",502,Aberdeen_Angus
503-III,"1,216","30,73","21,336","3,300","27,0","21,0","4,242","14,14",503,Aberdeen_Angus
504-III,"1,218","30,79","21,379","3,300","27,0","21,0","4,243","14,17",504,Aberdeen_Angus
505-III,"1,221","30,85","21,421","3,300","27,0","21,0","4,244","14,20",505,Aberdeen_Angus
506-III,"1,223","30,91","21,463","3,300","27,0","21,0","4,245","14,22",506,Aberdeen_Angus
507-III,"1,226","30,97","21,505","3,300","27,0","21,0","4,246","14,25",507,Aberdeen_Angus
508-III,"1,228","31,03","21,540","3,300","27,0","21,0","4,247","14,28",508,Aberdeen_Angus
509-III,"1,230","31,09","21,582","3,300","27,0","21,0","4,248","14,31",509,Aberdeen_Angus
510-III,"1,233","31,15","21,624","3,300","27,0","21,0","4,249","14,34",510,Aberdeen_Angus
511-III,"1,235","31,21","21,667","3,300","27,0","21,0","4,250","14,36",511,Aberdeen_Angus
512-III,"1,238","31,27","21,709","3,300","27,0","21,0","4,251","14,39",512,Aberdeen_Angus
513-III,"1,240","31,33","21,751","3,300","27,0","21,0","4,320","14,42",513,Aberdeen_Angus
514-III,"1,242","31,39","21,793","3,300","27,0","21,0","4,328","14,45",514,Aberdeen_Angus
515-III,"1,245","31,45","21,836","3,300","27,0","21,0","4,337","14,48",515,Aberdeen_Angus
516-III,"1,247","31,51","21,878","3,300","27,0","21,0","4,345","14,50",516,Aberdeen_Angus
517-III,"1,247","31,57","21,920","3,300","27,0","21,0","4,354","14,53",517,Aberdeen_Angus
518-III,"1,247","31,63","21,962","3,300","27,0","21,0","3,360","14,56",518,Aberdeen_Angus
519-III,"1,247","31,69","22,005","3,300","27,0","21,0","3,366","14,59",519,Aberdeen_Angus
520-III,"1,247","31,75","22,047","3,300","27,0","21,0","3,373","14,62",520,Aberdeen_Angus
521-III,"1,247","31,81","22,089","3,300","27,0","21,0","3,379","14,64",521,Aberdeen_Angus
522-III,"1,247","31,87","22,131","3,300","27,0","21,0","3,386","14,67",522,Aberdeen_Angus
523-III,"1,247","31,93","22,174","3,300","27,0","21,0","3,392","14,70",523,Aberdeen_Angus
524-III,"1,247","31,99","22,216","3,300","27,0","21,0","3,399","14,73",524,Aberdeen_Angus
525-III,"1,247","32,05","22,258","3,300","27,0","21,0","3,405","14,76",525,Aberdeen_Angus
526-III,"1,247","32,11","22,300","3,300","27,0","21,0","3,412","14,78",526,Aberdeen_Angus
527-III,"1,247","32,17","22,342","3,300","27,0","21,0","3,418","14,81",527,Aberdeen_Angus
528-III,"1,247","32,23","22,385","3,300","27,0","21,0","3,425","14,84",528,Aberdeen_Angus
529-III,"1,247","32,29","22,427","3,300","27,0","21,0","3,431","14,87",529,Aberdeen_Angus
530-III,"1,247","32,35","22,470","3,300","27,0","21,0","3,438","14,90",530,Aberdeen_Angus
531-III,"1,247","32,41","22,512","3,300","27,0","21,0","3,444","14,92",531,Aberdeen_Angus
532-III,"1,247","32,41","22,555","3,300","27,0","21,0","3,450","14,95",532,Aberdeen_Angus
533-III,"1,247","32,41","22,597","3,300","27,0","21,0","3,457","14,98",533,Aberdeen_Angus
534-III,"1,247","32,41","22,640","3,300","27,0","21,0","3,463","15,01",534,Aberdeen_Angus
535-III,"1,247","32,41","22,682","3,300","27,0","21,0","3,470","15,04",535,Aberdeen_Angus
536-III,"1,247","32,41","22,725","3,300","27,0","21,0","3,476","15,06",536,Aberdeen_Angus
537-III,"1,247","32,41","22,767","3,300","27,0","21,0","3,483","15,09",537,Aberdeen_Angus
538-III,"1,247","32,41","22,800","3,300","27,0","21,0","3,489","15,12",538,Aberdeen_Angus
539-III,"1,247","32,41","22,842","3,300","27,0","21,0","3,496","15,15",539,Aberdeen_Angus
540-III,"1,247","32,41","22,884","3,300","27,0","21,0","3,502","15,18",540,Aberdeen_Angus
541-III,"1,247","32,41","22,927","3,300","27,0","21,0","3,509","15,20",541,Aberdeen_Angus
542-III,"1,247","32,41","22,969","3,300","27,0","21,0","3,515","15,23",542,Aberdeen_Angus
543-III,"1,247","32,41","23,011","3,300","27,0","21,0","3,522","15,26",543,Aberdeen_Angus
544-III,"1,247","32,41","23,053","3,300","27,0","21,0","3,528","15,29",544,Aberdeen_Angus
545-III,"1,247","32,41","23,096","3,300","27,0","21,0","3,534","15,32",545,Aberdeen_Angus
546-III,"1,247","32,41","23,138","3,300","27,0","21,0","3,541","15,34",546,Aberdeen_Angus
547-III,"1,247","32,41","23,180","3,300","27,0","21,0","3,547","15,37",547,Aberdeen_Angus
548-III,"1,247","32,41","23,210","3,500","27,0","21,0","3,554","15,40",548,Aberdeen_Angus
549-III,"1,249","32,47","23,252","3,500","27,0","21,0","3,560","15,43",549,Aberdeen_Angus
550-III,"1,251","32,53","23,294","3,500","27,0","21,0","3,567","15,46",550,Aberdeen_Angus
551-III,"1,254","32,58","23,337","3,500","27,0","21,0","3,573","15,48",551,Aberdeen_Angus
552-III,"1,256","32,64","23,379","3,500","27,0","21,0","3,580","15,51",552,Aberdeen_Angus
553-III,"1,258","32,70","23,421","3,500","27,0","21,0","3,586","15,54",553,Aberdeen_Angus
554-III,"1,260","32,76","23,463","3,500","27,0","21,0","3,593","15,57",554,Aberdeen_Angus
555-III,"1,262","32,82","23,505","3,500","27,0","21,0","3,599","15,60",555,Aberdeen_Angus
556-III,"1,265","32,87","23,548","3,500","27,0","21,0","3,606","15,62",556,Aberdeen_Angus
557-III,"1,267","32,93","23,590","3,500","27,0","21,0","3,612","15,65",557,Aberdeen_Angus
558-III,"1,269","32,99","23,632","3,500","27,0","21,0","3,618","15,68",558,Aberdeen_Angus
559-III,"1,271","33,05","23,674","3,500","27,0","21,0","3,625","15,71",559,Aberdeen_Angus
560-III,"1,273","33,11","23,716","3,500","27,0","21,0","3,631","15,74",560,Aberdeen_Angus
561-III,"1,276","33,16","23,759","3,500","27,0","21,0","3,638","15,76",561,Aberdeen_Angus
562-III,"1,278","33,22","23,801","3,500","27,0","21,0","3,644","15,79",562,Aberdeen_Angus
563-III,"1,280","33,28","23,843","3,500","27,0","21,0","3,651","15,82",563,Aberdeen_Angus
564-III,"1,282","33,34","23,885","3,500","27,0","21,0","3,657","15,85",564,Aberdeen_Angus
565-III,"1,284","33,40","23,927","3,500","27,0","21,0","3,664","15,88",565,Aberdeen_Angus
566-III,"1,287","33,45","23,970","3,500","27,0","21,0","3,670","15,90",566,Aberdeen_Angus
567-III,"1,289","33,51","24,012","3,500","27,0","21,0","3,677","15,93",567,Aberdeen_Angus
568-III,"1,291","33,57","24,050","3,500","27,0","21,0","3,683","15,96",568,Aberdeen_Angus
569-III,"1,293","33,63","24,092","3,500","27,0","21,0","3,690","15,99",569,Aberdeen_Angus
570-III,"1,293","33,69","24,134","3,500","27,0","21,0","3,696","16,02",570,Aberdeen_Angus
571-III,"1,293","33,74","24,176","3,500","27,0","21,0","3,702","16,04",571,Aberdeen_Angus
572-III,"1,293","33,80","24,218","3,500","27,0","21,0","3,709","16,07",572,Aberdeen_Angus
573-III,"1,293","33,86","24,260","3,500","27,0","21,0","3,715","16,10",573,Aberdeen_Angus
574-III,"1,293","33,92","24,302","3,500","27,0","21,0","3,722","16,13",574,Aberdeen_Angus
575-III,"1,293","33,98","24,344","3,500","27,0","21,0","3,728","16,16",575,Aberdeen_Angus
576-III,"1,293","34,03","24,386","3,500","27,0","21,0","3,735","16,18",576,Aberdeen_Angus
577-III,"1,293","34,09","24,428","3,500","27,0","21,0","3,741","16,21",577,Aberdeen_Angus
578-III,"1,293","34,15","24,470","3,500","27,0","21,0","3,748","14,53",578,Aberdeen_Angus
579-III,"1,293","34,21","24,512","3,500","27,0","21,0","3,754","14,56",579,Aberdeen_Angus
