Nabo forrajero raiz,10.6,15.6,1.42,3.06,84.8,0.61,0.29,14.4,21.17,0,0
Paja de arroz,92.0,3.8,0.62,1.73,48.0,0.24,0.09,43,82,0,0
Pasta de algodon 36%,92.0,35.0,0.78,2.16,60.0,0.20,1.20,13,28.9,0.3,39
Pasto natural (inv.) (*),85.0,3.2,0.65,1.80,50.0,0.15,0.05,0,0,0,0
Pasto natural (ver.) (*),75.0,4.7,0.71,1.98,55.0,0.25,0.19,0,0,0,0
Pepa de algodon,93.0,23.1,1.21,3.36,93.0,0.15,0.73,17,28,0,0
Polvillo de arroz,91.0,14.1,1.03,2.53,70.0,0.23,0.63,6,33,0,0
Raygras I. trebol blan.,20.0,14.0,0.86,2.40,66.5,1.45,0.36,24,20,24,0
Rye grass Ingles,20.0,8.6,0.83,2.31,64.0,0.65,0.35,25,41,48,0
Rye grass Italiano ,21.0,10.3,0.80,2.24,62.0,0.62,0.34,24,64,116,0
Soya integral,90.0,35.0,1.11,3.07,85.0,0.30,0.63,6,0,0,0
Sorgo grano,86.7,8.7,1.53,3.23,89.5,0.05,0.24,2.16,14.65,0,0
Torta de algodon,92.0,41.0,1.11,2.63,73.0,0.20,1.04,16,26,0,0
Torta de soya,90.0,44.0,1.40,3.03,84.0,0.30,0.68,7,14.9,0,0
Totora  Tierna fresca,19.0,8.5,0.81,2.24,62.0,0.90,0.20,38,70,0,0
Totora  Tierna heno,95.0,9.5,0.73,2.02,55.8,0.90,0.20,34.2,63,0,0
Trebol blanco Inicio flor,13.5,25.5,1.24,2.82,77.6,1.35,0.31,12.93,28.51,21,0
Trebol blanco fresco,20.0,19.4,0.89,2.49,69.0,2.26,0.38,23,0,20,0
Trigo cultivo hidroponico,15.7,14.4,1.36,2.99,82.9,0.16,1.30,15.08,46,33,0
Trigo afrecho,89.0,15.0,1.61,2.56,71.0,0.15,0.39,8,37,0.4,13
Trigo afrechillo,87.3,15.7,1.18,2.73,75.7,0.14,0.83,10.39,43.86,0,0
Trigo paja,86.1,3.5,0.42,1.46,40.5,0.35,0.80,42.68,82.86,0,0
Urea 46% N,99,287,0.00,0.00,0,0.00,0.00,0,0,0,0
Bicarbonato de sodio,63.7,0,0,0,0,0.13,0.02,0,0,0,0
Conchuela molida,99,0,0.00,0.00,0,38.00,0.07,0,0,0,0
Carbonato de Calcio,99,0,0.00,0.00,0,38.50,0.00,0,0,0,0
Fosfato dicalsico,99.0,0.0,0.00,0.00,0.0,21.30,18.70,0,0,0,0
Fosfato monosodico,96,0,0,0,0,0.00,25.80,0,0,0,0
Fosfato tricalsico,99.4,0,0,0,0,17.66,9.00,0,0,0,0
Montafos,92.0,0.0,0.00,0.00,0.0,18.00,21.00,0,0,0,0
Ostion concha,96.0,0.0,0.00,0.00,0.0,8.20,0.10,0,0,0,0
Sal comun Na 39%,99.0,0.0,0.00,0.00,0.0,0.03,0.00,0,0,0,0
Suplamin difos,99.0,0.0,0.00,0.00,0.0,18.50,15.06,0,0,0,0
Rocsalfos,99.0,0.0,0.00,0.00,0.0,25.00,16.00,0,0,0,0
Tronox s-carb antiacido,98.0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0
Pecutrin Min. + Vit.,90.0,0.0,0.0,0.0,0.0,25.00,0.00,0,0,30,5
